key,지역,정보공시 학교코드,학교명,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,y,s1,s2,s3,s4
S010000975-2023,서울특별시 강서구,S010000975,등촌중학교,유,유,시설없음,14.1,9.715384615384616,0,0,0,1.4736263736263735,15.0,10.0,15.0,4.0,4.0,3.0,7.0,적정설치,적정설치,적정설치,적정설치,단순설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,유,유,시설없음,13.02920805642092,4.193863141885392,1.7239062101956424,58.1,21.1
S010000975-2024,서울특별시 강서구,S010000975,등촌중학교,유,유,시설없음,13.3,9.283673469387756,0,0,0,1.3755102040816327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,적정설치,적정설치,적정설치,적정설치,단순설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,유,유,시설없음,6.595268630678911,4.1594123599038175,1.6891683232871177,0.1,21.1
S010000976-2021,서울특별시 강서구,S010000976,마포중학교,유,무,시설없음,14.0,3.736363636363636,0,0,1,0.1,8.0,0.0,6.0,3.0,4.0,2.0,1.0,적정설치,적정설치,적정설치,적정설치,미설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,시설없음,시설없음,시설없음,7.086270969638052,-0.15129254649702273,1.0546318605734357,24.1,20.1
S010000976-2022,서울특별시 강서구,S010000976,마포중학교,유,무,시설없음,14.6,8.178602620087336,0,0,1,0.1,8.0,8.0,9.0,4.0,2.0,2.0,3.0,적정설치,적정설치,적정설치,적정설치,미설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,시설없음,시설없음,시설없음,8.040836125369655,-0.15129254649702273,1.6051159914628126,36.1,20.1
S010000976-2023,서울특별시 강서구,S010000976,마포중학교,유,무,무,13.5,7.422175732217573,0,0,1,3.4472803347280334,8.0,8.0,5.0,2.0,3.0,1.0,1.0,적정설치,적정설치,적정설치,적정설치,미설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,시설없음,시설없음,시설없음,9.488547249066334,1.618792805695017,1.5332650519665874,28.1,20.1
S010000976-2024,서울특별시 강서구,S010000976,마포중학교,유,무,무,12.8,8.263265306122449,0,0,1,3.7281179138322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,적정설치,적정설치,적정설치,적정설치,미설치,적정설치,적정설치,적정설치,적정설치,적정설치,미설치,시설없음,시설없음,시설없음,3.857024744058248,1.6579517627849927,1.6057461359955205,0.1,18.1
S010000977-2021,서울특별시 강서구,S010000977,명덕여자중학교,유,유,시설없음,18.3,2.926855123674912,1,0,1,1.160070671378092,10.0,10.0,32.0,7.0,3.0,1.0,2.0,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,시설없음,시설없음,시설없음,11.24283763113544,2.0742404634321545,1.8970950099650554,65.1,22.1
S010000977-2022,서울특별시 강서구,S010000977,명덕여자중학교,유,유,시설없음,17.900000000000002,6.294690265486725,0,0,0,1.1619469026548672,10.0,10.0,33.3,8.0,2.0,4.0,2.0,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,시설없음,시설없음,시설없음,10.842547517095996,2.075048481298205,1.4320345597613255,69.39999999999999,22.1
S010000977-2023,서울특별시 강서구,S010000977,명덕여자중학교,유,유,시설없음,16.6,7.708695652173914,0,0,0,1.1869565217391305,9.0,8.0,33.0,4.0,2.0,2.0,2.0,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,시설없음,시설없음,시설없음,10.847398125969585,2.085696243130882,1.5701144327738337,60.1,22.1
S010000977-2024,서울특별시 강서구,S010000977,명덕여자중학교,유,무,시설없음,17.200000000000003,8.638899430740038,0,0,0,1.2385199240986715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,시설없음,시설없음,시설없음,3.551589149071215,1.1069585285499046,1.6516381049916486,0.1,22.1
S010000978-2021,서울특별시 양천구,S010000978,목동중학교,유,유,유,17.1,1.2636363636363637,0,0,0,0.6818181818181818,15.6,12.0,21.4,4.0,9.6,2.3,3.0,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,미설치,적정설치,미설치,미설치,유,유,시설없음,12.112580271350694,4.808503873871947,0.30574942031222363,68.0,16.1
