key,지역,정보공시 학교코드,학교명,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30
S010001005-2023,서울특별시 강서구,S010001005,서울가양초등학교,유,유,시설없음,9.5,5.760377358490566,0,0,0,3.8735849056603775,10.0,10.0,8.0,2.0,7.0,2.0,2.0,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,미설치,적정설치,적정설치,유,시설없음,시설없음
S010001005-2024,서울특별시 강서구,S010001005,서울가양초등학교,무,무,시설없음,10.5,6.863285024154589,0,0,0,3.964734299516908,12.0,11.0,8.0,5.0,5.0,2.0,2.0,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,미설치,적정설치,적정설치,무,시설없음,시설없음
S010001006-2021,서울특별시 양천구,S010001006,서울갈산초등학교,유,유,유,21.200000000000003,1.6023474178403756,0,0,0,0.6633802816901408,13.4,12.6,10.3,5.0,5.0,4.4,2.7,적정설치,적정설치,적정설치,단순설치,미설치,적정설치,적정설치,적정설치,적정설치,적정설치,단순설치,유,유,시설없음
S010001006-2022,서울특별시 양천구,S010001006,서울갈산초등학교,유,유,유,22.8,4.161895551257253,0,0,0,0.39013539651837525,13.4,12.6,10.3,5.0,5.0,4.4,2.7,적정설치,적정설치,적정설치,단순설치,미설치,적정설치,적정설치,적정설치,적정설치,적정설치,단순설치,유,유,시설없음
S010001006-2023,서울특별시 양천구,S010001006,서울갈산초등학교,유,유,유,21.400000000000002,3.9353601496725914,0,0,0,0.38063610851262863,10.0,9.0,3.0,3.0,2.0,0.0,1.0,적정설치,적정설치,적정설치,단순설치,미설치,적정설치,적정설치,적정설치,적정설치,적정설치,단순설치,무,유,시설없음
S010001006-2024,서울특별시 양천구,S010001006,서울갈산초등학교,유,유,유,20.5,0.1,0,0,0,0.1,12.0,11.0,8.0,5.0,5.0,2.0,2.0,적정설치,적정설치,적정설치,단순설치,미설치,적정설치,적정설치,적정설치,적정설치,적정설치,단순설치,무,유,시설없음
S010001007-2021,서울특별시 양천구,S010001007,서울강서초등학교,유,유,시설없음,17.8,1.5234875444839857,0,1,0,0.8117437722419928,12.0,11.0,8.0,4.0,6.0,2.0,2.0,적정설치,미설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,단순설치,적정설치,유,유,시설없음
S010001007-2022,서울특별시 양천구,S010001007,서울강서초등학교,무,무,시설없음,18.1,0.3772643253234751,0,1,0,0.8393715341959335,8.0,11.0,6.0,1.0,2.0,2.0,2.0,적정설치,미설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,단순설치,적정설치,무,무,시설없음
S010001007-2023,서울특별시 양천구,S010001007,서울강서초등학교,유,유,시설없음,17.0,4.38849902534113,0,1,0,0.8797270955165691,10.0,8.0,11.0,9.0,2.0,1.0,1.0,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,유,유,시설없음
S010001007-2024,서울특별시 양천구,S010001007,서울강서초등학교,유,유,시설없음,16.400000000000002,4.635864978902953,0,1,0,0.9438818565400843,12.0,11.0,9.0,5.0,5.0,2.0,2.0,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,유,유,시설없음
