key,상담실적(내부상담전문가),상담실적(외부상담전문가),교수학습공간 일반교실,교수학습공간 교과교실,교수학습공간 수준별교실,교수학습공간 특별교실,학생자율동아리 동아리수,창의적체험활동동아리 동아리수
S010000419-2024,282.0,83.0,27.0,7.0,1.0,7.0,0.0,40.0
S010000420-2021,795.0,2.0,34.0,1.0,0.0,7.0,56.0,58.0
S010000420-2022,392.0,52.0,34.0,5.0,0.0,13.0,32.0,52.0
S010000420-2023,376.0,8.0,34.0,5.0,0.0,13.0,0.0,55.0
S010000420-2024,392.0,32.0,34.0,5.0,0.0,13.0,0.0,56.0
S010000421-2021,607.0,24.0,39.0,5.0,0.0,10.0,53.0,41.0
S010000421-2022,692.0,5.0,39.0,5.0,0.0,10.0,14.0,38.0
S010000421-2023,784.0,1.0,38.0,5.0,0.0,10.0,0.0,31.0
S010000421-2024,838.0,69.0,38.0,5.0,0.0,10.0,0.0,36.0
S010000422-2021,0.0,250.0,39.0,7.0,0.0,10.0,26.0,59.0
S010000422-2022,0.0,254.0,39.0,7.0,0.0,10.0,3.0,58.0
S010000422-2023,0.0,326.0,39.0,9.0,0.0,10.0,0.0,56.0
S010000422-2024,0.0,324.0,37.0,9.0,0.0,11.0,0.0,55.0
S010000423-2021,0.0,0.0,40.0,5.0,4.0,9.0,31.0,49.0
S010000423-2022,0.0,0.0,39.0,5.0,4.0,9.0,12.0,51.0
S010000423-2023,0.0,0.0,37.0,4.0,4.0,10.0,1.0,53.0
S010000423-2024,0.0,0.0,33.0,4.0,4.0,14.0,1.0,42.0
S010000424-2021,845.0,24.0,29.0,2.0,0.0,7.0,24.0,51.0
S010000424-2022,955.0,104.0,29.0,2.0,0.0,10.0,7.0,53.0
S010000424-2023,748.0,103.0,27.0,2.0,0.0,12.0,0.0,53.0
S010000424-2024,434.0,91.0,27.0,2.0,0.0,12.0,0.0,52.0
S010000425-2021,403.0,24.0,30.0,5.0,0.0,12.0,35.0,48.0
S010000425-2022,543.0,55.0,29.0,5.0,0.0,10.0,12.0,47.0
S010000425-2023,315.0,40.0,28.0,6.0,0.0,13.0,0.0,48.0
S010000425-2024,475.0,14.0,27.0,4.0,0.0,12.0,0.0,37.0
S010000426-2021,791.0,70.0,34.0,0.0,0.0,38.0,1.0,55.0
S010000426-2022,841.0,24.0,31.0,0.0,0.0,43.0,1.0,52.0
S010000426-2023,847.0,19.0,26.0,2.0,0.0,45.0,0.0,44.0
S010000426-2024,613.0,26.0,23.0,2.0,0.0,44.0,0.0,36.0
S010000427-2021,714.0,8.0,31.0,8.0,0.0,10.0,39.0,42.0
S010000427-2022,455.0,42.0,31.0,8.0,0.0,10.0,10.0,45.0
S010000427-2023,719.0,114.0,31.0,8.0,0.0,10.0,0.0,47.0
S010000427-2024,540.0,97.0,31.0,8.0,0.0,10.0,0.0,50.0
S010000428-2021,291.0,3.0,32.0,6.0,1.0,15.0,25.0,39.0
S010000428-2022,371.0,2.0,32.0,6.0,1.0,15.0,10.0,40.0
S010000428-2023,393.0,17.0,32.0,6.0,1.0,15.0,0.0,44.0
S010000428-2024,393.0,17.0,32.0,6.0,1.0,15.0,0.0,40.0
S010000429-2021,263.0,143.0,51.0,3.0,4.0,18.0,40.0,57.0
S010000429-2022,301.0,185.0,51.0,3.0,4.0,18.0,17.0,57.0
S010000429-2023,325.0,338.0,51.0,3.0,4.0,18.0,0.0,56.0
S010000429-2024,298.0,211.0,51.0,3.0,4.0,18.0,0.0,56.0
S010000430-2021,173.0,0.0,40.0,0.0,0.0,7.0,31.0,45.0
S010000430-2022,199.0,4.0,40.0,0.0,0.0,7.0,7.0,45.0
S010000430-2023,400.0,24.0,40.0,0.0,0.0,7.0,0.0,48.0
S010000430-2024,442.0,49.0,40.0,0.0,0.0,7.0,0.0,41.0
S010000431-2021,0.0,0.0,31.0,5.0,1.0,6.0,0.0,31.0
S010000431-2022,0.0,6.0,31.0,5.0,1.0,6.0,2.0,30.0
