key,지역,정보공시 학교코드,학교명,교과교실제(지정?운영),자율학교(지정?운영),수준별 수업(운영),전체학생수,연간1인당 보건실이용건수,일반직계,별정직계(2018년이후),기타직계(2019년이후),특수학급 학급당 학생수,순회학급 학급당 학생수,수업교원 1인당 학생수,체육장 개방여부,체육관 개방여부,강당 개방여부,일반교과교실 개방여부,특별교실 개방여부,시청각실 개방여부,수석교사(계),전문상담교사(계),사서교사(계),보건교사(계),영양교사(계),체력 1등급 (%),체력 2등급 (%),체력 3등급 (%),체력 4등급 (%),체력 5등급 (%)
S010002302-2024,서울특별시 성북구,S010002302,서울석관초등학교,0,0,0,616.0,11.3,5.0,0.0,17.0,3.0,0.0,16.1,유,유,시설없음,유,유,시설없음,0.0,0.0,0.0,1.0,1.0,0.018867924528301886,0.3490566037735849,0.5377358490566038,0.09433962264150944,0.0
S010002303-2021,서울특별시 성북구,S010002303,서울성북초등학교,0,0,0,247.0,2.0,6.0,0.0,13.0,4.0,0.0,11.2,유,유,시설없음,무,무,시설없음,0.0,0.0,0.0,1.0,0.0,0.018867924528301886,0.3490566037735849,0.5377358490566038,0.09433962264150944,0.0
S010002303-2022,서울특별시 성북구,S010002303,서울성북초등학교,0,0,0,236.0,8.0,5.0,0.0,13.0,4.0,0.0,11.5,유,유,시설없음,무,무,시설없음,0.0,0.0,0.0,1.0,0.0,0.1,0.45,0.4125,0.0375,0.0
S010002303-2023,서울특별시 성북구,S010002303,서울성북초등학교,0,0,0,229.0,7.6,5.0,0.0,13.0,3.0,0.0,10.8,유,유,시설없음,무,무,시설없음,0.0,0.0,0.0,1.0,0.0,0.025,0.45,0.3375,0.1625,0.025
S010002303-2024,서울특별시 성북구,S010002303,서울성북초등학교,0,0,0,205.0,12.5,4.0,0.0,10.0,2.0,0.0,10.2,유,유,시설없음,무,무,시설없음,0.0,0.0,0.0,1.0,0.0,0.10714285714285714,0.34523809523809523,0.4166666666666667,0.13095238095238096,0.0
S010002304-2021,서울특별시 강북구,S010002304,서울송중초등학교,0,1,0,742.0,1.0,4.0,0.0,16.0,6.0,0.0,17.0,유,유,시설없음,무,무,시설없음,0.0,0.0,0.0,2.0,1.0,0.10714285714285714,0.34523809523809523,0.4166666666666667,0.13095238095238096,0.0
S010002304-2022,서울특별시 강북구,S010002304,서울송중초등학교,0,1,0,746.0,2.8,4.0,0.0,15.0,4.5,0.0,15.5,무,무,시설없음,무,무,시설없음,0.0,0.0,0.0,1.0,1.0,0.032,0.368,0.576,0.024,0.0
S010002304-2023,서울특별시 강북구,S010002304,서울송중초등학교,0,1,0,712.0,6.3,4.0,0.0,15.0,6.5,0.0,16.9,무,무,시설없음,무,무,시설없음,0.0,0.0,0.0,1.0,1.0,0.06772908366533864,0.33067729083665337,0.4820717131474104,0.11952191235059761,0.0
S010002304-2024,서울특별시 강북구,S010002304,서울송중초등학교,0,1,0,726.0,9.8,4.0,0.0,14.0,6.5,0.0,16.1,무,무,시설없음,무,무,시설없음,0.0,0.0,0.0,1.0,1.0,0.07258064516129033,0.3588709677419355,0.43951612903225806,0.125,0.004032258064516129
S010002305-2021,서울특별시 강북구,S010002305,서울송천초등학교,0,0,0,530.0,1.8,5.0,0.0,15.0,6.0,0.0,18.5,유,시설없음,무,유,유,시설없음,0.0,1.0,0.0,1.0,2.0,0.07258064516129033,0.3588709677419355,0.43951612903225806,0.125,0.004032258064516129
S010002305-2022,서울특별시 강북구,S010002305,서울송천초등학교,0,0,0,536.0,5.4,5.0,0.0,16.0,4.0,0.0,17.4,유,시설없음,무,유,유,시설없음,0.0,1.0,0.0,1.0,1.0,0.018867924528301886,0.23270440251572327,0.610062893081761,0.1320754716981132,0.006289308176100629
S010002305-2023,서울특별시 강북구,S010002305,서울송천초등학교,0,0,0,505.0,7.6,5.0,0.0,13.0,6.0,0.0,17.4,유,시설없음,무,무,무,시설없음,0.0,1.0,0.0,1.0,1.0,0.023529411764705882,0.3176470588235294,0.5,0.14705882352941177,0.011764705882352941
S010002305-2024,서울특별시 강북구,S010002305,서울송천초등학교,0,0,0,505.0,8.3,5.0,0.0,13.0,4.0,0.0,16.1,유,무,시설없음,무,무,시설없음,0.0,1.0,0.0,2.0,1.0,0.0106951871657754,0.3315508021390374,0.5133689839572193,0.13368983957219252,0.0106951871657754
S010002306-2021,서울특별시 강북구,S010002306,서울수송초등학교,0,0,0,768.0,1.0,6.0,0.0,18.0,2.0,0.0,16.1,유,유,시설없음,무,무,무,0.0,2.0,0.0,1.0,1.0,0.0106951871657754,0.3315508021390374,0.5133689839572193,0.13368983957219252,0.0106951871657754
