학교코드_공시연도,지역,정보공시 학교코드,학교명,지도교사수-동아리?학생자치활동,지도교사수-또래활동,지도교사수-교육주간 활동,지도교사수-기타 학교폭력 예방활동,참여학생수-동아리?학생자치활동,참여학생수-또래활동,참여학생수-교육주간 활동,참여학생수-기타 학교폭력 예방활동,전체학생수_안전교육 계획 및 실시현황,생활안전교육 시간(단위활동차시)-합계,교통안전교육 시간(단위활동차시)-합계,폭력예방및신변보호교육 시간(단위활동차시)-합계,약물중독예방교육 시간(단위활동차시) - 합계 (2020년 이후),지능정보서비스과의존관련교육 시간(단위활동차시) - 합계 (2023년 이후),직업안전교육 시간(단위활동차시)-합계,응급처치교육 시간(단위활동차시)-합계,주 출입구 접근로 설치여부,장애인 전용 주차구역 지정여부,주 출입구 높이차이 제거여부,출입구(문) 설치유무,복도,계단/승강기/경사로/휠체어리프트 유무,장애인용 대변기 설치여부,장애인용 소변기 설치여부,점자블록 설치여부,유도 및 안내설비 설치여부,경보 및 피난설비 설치여부
S010000650-2024,서울특별시 중랑구,S010000650,이화여자대학교병설미디어고등학교,0,0,2,0,0,0,14,0,463,6,7,8,3,2,2,2,적정설치,적정설치,적정설치,적정설치,미설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치
S010000651-2021,서울특별시 노원구,S010000651,서울동산고등학교,0,1,0,0,0,12,0,0,982,10,10,19,10,8,4,5,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치
S010000651-2022,서울특별시 노원구,S010000651,서울동산고등학교,1,1,0,0,40,10,0,0,959,8,8,5,2,2,4,1,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치
S010000651-2023,서울특별시 노원구,S010000651,서울동산고등학교,1,1,0,0,39,11,0,0,910,10,11,20,7,8,1,2,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치
S010000651-2024,서울특별시 노원구,S010000651,서울동산고등학교,1,1,0,0,27,10,0,0,808,10,10,16,8,2,3,2,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치
S010000655-2021,서울특별시 강서구,S010000655,화곡보건경영고등학교,2,2,0,2,18,18,0,1,460,10,10,10,6,4,5,0,미설치,미설치,적정설치,미설치,미설치,적정설치,적정설치,적정설치,미설치,미설치,적정설치
S010000655-2022,서울특별시 강서구,S010000655,화곡보건경영고등학교,2,2,5,5,28,13,28,28,367,10,10,10,6,4,5,2,미설치,미설치,적정설치,미설치,미설치,적정설치,적정설치,적정설치,미설치,미설치,적정설치
S010000655-2023,서울특별시 강서구,S010000655,화곡보건경영고등학교,10,5,5,5,28,9,28,28,249,10,10,10,6,4,5,2,미설치,미설치,적정설치,미설치,미설치,적정설치,적정설치,적정설치,미설치,미설치,적정설치
S010000655-2024,서울특별시 강서구,S010000655,화곡보건경영고등학교,4,4,6,10,32,18,203,80,197,10,10,10,10,4,3,2,미설치,단순설치,적정설치,미설치,미설치,적정설치,적정설치,적정설치,미설치,미설치,적정설치
S010000656-2021,서울특별시 중구,S010000656,리라아트고등학교,0,0,0,0,0,0,0,0,439,9,8,8,5,1,1,1,단순설치,단순설치,단순설치,미설치,미설치,미설치,미설치,단순설치,단순설치,미설치,단순설치
S010000656-2022,서울특별시 중구,S010000656,리라아트고등학교,0,0,0,0,0,0,0,0,424,8,8,5,3,2,1,1,단순설치,단순설치,단순설치,미설치,미설치,미설치,미설치,단순설치,단순설치,미설치,단순설치
S010000656-2023,서울특별시 중구,S010000656,리라아트고등학교,0,0,0,0,0,0,0,0,385,8,8,5,8,1,1,1,단순설치,단순설치,단순설치,미설치,미설치,미설치,미설치,단순설치,단순설치,미설치,단순설치
S010000656-2024,서울특별시 중구,S010000656,리라아트고등학교,0,0,0,1,0,0,0,375,374,10,10,14,10,2,3,2.7,단순설치,단순설치,단순설치,미설치,미설치,미설치,미설치,단순설치,단순설치,미설치,단순설치
S010000657-2021,서울특별시 서초구,S010000657,서울웹툰애니메이션고등학교,0,1,0,8,0,7,0,257,256,5,2,3,2,2,2,2,적정설치,적정설치,적정설치,적정설치,적정설치,미설치,단순설치,단순설치,적정설치,적정설치,적정설치
