학교코드_공시연도,지역,정보공시 학교코드,학교명,지도교사수-동아리?학생자치활동,지도교사수-또래활동,지도교사수-교육주간 활동,지도교사수-기타 학교폭력 예방활동,참여학생수-동아리?학생자치활동,참여학생수-또래활동,참여학생수-교육주간 활동,참여학생수-기타 학교폭력 예방활동,전체학생수_안전교육 계획 및 실시현황,생활안전교육 시간(단위활동차시)-합계,교통안전교육 시간(단위활동차시)-합계,폭력예방및신변보호교육 시간(단위활동차시)-합계,약물중독예방교육 시간(단위활동차시) - 합계 (2020년 이후),지능정보서비스과의존관련교육 시간(단위활동차시) - 합계 (2023년 이후),직업안전교육 시간(단위활동차시)-합계,응급처치교육 시간(단위활동차시)-합계,주 출입구 접근로 설치여부,장애인 전용 주차구역 지정여부,주 출입구 높이차이 제거여부,출입구(문) 설치유무,복도,계단/승강기/경사로/휠체어리프트 유무,장애인용 대변기 설치여부,장애인용 소변기 설치여부,점자블록 설치여부,유도 및 안내설비 설치여부,경보 및 피난설비 설치여부
S010005504-2021,서울특별시 송파구,S010005504,서울잠현초등학교,0,0,0,31,0,0,0,870,862,12,11,8,4,6,2,2,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치
S010005504-2022,서울특별시 송파구,S010005504,서울잠현초등학교,0,0,32,2,0,0,930,20,913,12,11,8,4,6,2,2,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치
S010005504-2023,서울특별시 송파구,S010005504,서울잠현초등학교,0,3,33,5,0,148,893,30,916,12,11,8,5,5,2,2,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치
S010005504-2024,서울특별시 송파구,S010005504,서울잠현초등학교,2,4,33,0,25,297,887,0,887,12,11,8,5,5,2,2,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치
S010005505-2021,서울특별시 은평구,S010005505,서울진관초등학교,42,0,0,0,1041,0,0,0,1012,12,11,8,5,5,2,2,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치
S010005505-2022,서울특별시 은평구,S010005505,서울진관초등학교,0,42,0,0,0,1041,0,0,960,12,11,6,3,3,1,2,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치
S010005505-2023,서울특별시 은평구,S010005505,서울진관초등학교,0,40,0,0,0,888,0,0,889,10,9,3,5,1,1,2,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치
S010005505-2024,서울특별시 은평구,S010005505,서울진관초등학교,0,36,0,0,0,785,0,0,780,10,10,10,5,5,3,2,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치
S010005507-2021,서울특별시 양천구,S010005507,서울목운초등학교,49,0,0,0,1750,0,0,0,1693,12,12,10,5,5,3,3,적정설치,적정설치,적정설치,적정설치,미설치,적정설치,적정설치,적정설치,적정설치,미설치,적정설치
S010005507-2022,서울특별시 양천구,S010005507,서울목운초등학교,0,49,0,0,0,1695,0,0,1681,10,9,3,3,2,0,1,적정설치,적정설치,적정설치,적정설치,미설치,적정설치,적정설치,적정설치,적정설치,미설치,적정설치
S010005507-2023,서울특별시 양천구,S010005507,서울목운초등학교,0,50,0,0,0,1658,0,0,1637,12,11,8,4,6,2,2,적정설치,적정설치,적정설치,적정설치,미설치,적정설치,적정설치,적정설치,적정설치,미설치,적정설치
S010005507-2024,서울특별시 양천구,S010005507,서울목운초등학교,0,50,50,0,0,1588,1588,0,1588,12,11,14,5,5,2,3,적정설치,적정설치,적정설치,적정설치,미설치,적정설치,적정설치,적정설치,적정설치,미설치,적정설치
S010005510-2021,서울특별시 은평구,S010005510,진관중학교,0,0,0,0,0,0,0,0,1193,9,9,10,8,8,8,5,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,미설치,미설치
S010005510-2022,서울특별시 은평구,S010005510,진관중학교,0,0,0,0,0,0,0,0,1195,5,5,5,3,2,3,2,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,미설치,미설치
S010005510-2023,서울특별시 은평구,S010005510,진관중학교,0,0,7,10,0,0,14,70,1135,12,10,12,10,6,3,3,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,미설치,미설치
S010005510-2024,서울특별시 은평구,S010005510,진관중학교,0,14,2,2,0,25,1061,11,0,0,0,0,0,0,0,0,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,미설치,미설치
S010005513-2021,서울특별시 성동구,S010005513,서울송원초등학교,15,0,0,0,285,0,0,0,285,13,10,8,5,5,2,2,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치
S010005513-2022,서울특별시 성동구,S010005513,서울송원초등학교,2,24,24,15,10,289,289,289,269,12,11,12,5,6,2,2,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치
S010005513-2023,서울특별시 성동구,S010005513,서울송원초등학교,2,24,24,15,10,289,289,289,260,12,11,8,4,6,2,2,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치
S010005513-2024,서울특별시 성동구,S010005513,서울송원초등학교,2,0,24,15,19,0,245,245,248,12,11,12,2,9,2,2,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치
S010005515-2021,서울특별시 양천구,S010005515,목운중학교,0,1,0,0,0,18,0,0,1371,16,11,13,5,6,4,4,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치
S010005515-2022,서울특별시 양천구,S010005515,목운중학교,3,1,6,0,55,18,24,0,1383,10,10,11,5,5,2,2,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치
S010005515-2023,서울특별시 양천구,S010005515,목운중학교,7,1,4,0,58,18,58,0,1379,10,13,13,4,4,4,3,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치
S010005515-2024,서울특별시 양천구,S010005515,목운중학교,2,1,4,0,44,18,24,0,0,0,0,0,0,0,0,0,적정설치,적정설치,적정설치,미설치,적정설치,적정설치,적정설치,적정설치,단순설치,미설치,미설치
S010005516-2021,서울특별시 강북구,S010005516,솔샘중학교,0,1,0,0,0,14,0,0,457,10,10,10,5,5,3,2,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치
S010005516-2022,서울특별시 강북구,S010005516,솔샘중학교,1,1,1,1,22,14,22,22,439,10,6,6,3,3,3,2,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치
S010005516-2023,서울특별시 강북구,S010005516,솔샘중학교,1,1,1,1,22,14,22,22,428,12,10,12,5,5,3,2,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치
S010005516-2024,서울특별시 강북구,S010005516,솔샘중학교,1,1,1,1,20,14,20,20,0,0,0,0,0,0,0,0,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치
S010005518-2021,서울특별시 강북구,S010005518,삼각산고등학교,0,1,0,0,0,8,0,0,605,10,8,13,4,4,2,3,적정설치,적정설치,적정설치,적정설치,적정설치,단순설치,적정설치,적정설치,적정설치,적정설치,적정설치
S010005518-2022,서울특별시 강북구,S010005518,삼각산고등학교,0,1,0,0,0,14,0,0,588,9,8,13,4,4,2,3,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치
S010005518-2023,서울특별시 강북구,S010005518,삼각산고등학교,1,1,5,5,10,10,582,582,584,4,4,8,4,4,1,3,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치
S010005518-2024,서울특별시 강북구,S010005518,삼각산고등학교,1,1,5,5,15,8,626,626,626,6.3,10,10,8,2,1,2,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,단순설치
S010005519-2021,서울특별시 서대문구,S010005519,인왕중학교,0,1,0,2,0,12,0,15,493,14,13,10,5,6,3,3,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치
S010005519-2022,서울특별시 서대문구,S010005519,인왕중학교,0,1,0,0,0,8,0,0,434,14,13,19,4,7,3,5,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치
S010005519-2023,서울특별시 서대문구,S010005519,인왕중학교,0,1,0,0,0,8,0,0,374,12,11,13,4,3,5,2,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치
S010005519-2024,서울특별시 서대문구,S010005519,인왕중학교,0,0,0,5,0,0,0,365,0,0,0,0,0,0,0,0,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치
S010005520-2021,서울특별시 송파구,S010005520,문현중학교,0,1,0,0,0,1,0,0,601,9,7,10,3,3,2,1,적정설치,적정설치,적정설치,적정설치,단순설치,적정설치,적정설치,미설치,적정설치,미설치,단순설치
S010005520-2022,서울특별시 송파구,S010005520,문현중학교,0,1,0,0,0,1,0,0,585,9,6,15,2,3,3,4,적정설치,적정설치,적정설치,적정설치,단순설치,적정설치,적정설치,미설치,적정설치,미설치,단순설치
S010005520-2023,서울특별시 송파구,S010005520,문현중학교,2,0,43,0,48,0,520,0,530,10,10,12,4,4,3,3,적정설치,적정설치,적정설치,적정설치,단순설치,적정설치,적정설치,미설치,적정설치,미설치,단순설치
S010005520-2024,서울특별시 송파구,S010005520,문현중학교,2,0,41,0,50,0,501,0,0,0,0,0,0,0,0,0,적정설치,적정설치,적정설치,미설치,단순설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치
S010005521-2021,서울특별시 구로구,S010005521,신도림고등학교,0,1,0,1,0,30,0,30,599,8,8,6,3,3,1,1,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치
S010005521-2022,서울특별시 구로구,S010005521,신도림고등학교,0,1,0,0,0,8,0,0,567,10,10,10,5,5,3,2,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치
S010005521-2023,서울특별시 구로구,S010005521,신도림고등학교,0,1,0,0,0,10,0,0,555,8,8,5,5,5,2,2,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치
S010005521-2024,서울특별시 구로구,S010005521,신도림고등학교,0,1,0,3,0,10,0,450,573,10,10,10,5,5,3,2,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치
S010005522-2021,서울특별시 강동구,S010005522,강일고등학교,1,1,0,0,171,21,0,0,532,10,8,10,6,5,2,2,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치
S010005522-2022,서울특별시 강동구,S010005522,강일고등학교,1,1,6,0,20,18,23,0,530,10,10,10,5,5,3,2,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치
S010005522-2023,서울특별시 강동구,S010005522,강일고등학교,1,1,6,0,20,18,23,0,519,10,10,10,4,8,3,2,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치
S010005522-2024,서울특별시 강동구,S010005522,강일고등학교,1,1,6,1,20,20,23,30,564,10,10,10,6.7,3,3,2.3,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치
S010005523-2021,서울특별시 성동구,S010005523,성수고등학교,24,2,1,0,280,11,9,0,507,10,10,15,4,5,2,2,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치
S010005523-2022,서울특별시 성동구,S010005523,성수고등학교,1,22,4,0,12,304,60,0,472,10,10,15,4,5,2,2,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치
S010005523-2023,서울특별시 성동구,S010005523,성수고등학교,1,20,5,21,11,280,77,21,469,10,10,15,4,5,2,2,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치
S010005523-2024,서울특별시 성동구,S010005523,성수고등학교,1,20,5,21,11,280,77,21,455,10,10,14,8,2,3,3,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치
S010005524-2021,서울특별시 송파구,S010005524,문현고등학교,0,0,0,0,0,0,0,0,660,8,8,6,3,2,2,2,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,미설치,적정설치
S010005524-2022,서울특별시 송파구,S010005524,문현고등학교,0,0,0,0,0,0,0,0,647,8,10,10,5,6,3,2,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,미설치,적정설치
S010005524-2023,서울특별시 송파구,S010005524,문현고등학교,1,1,0,1,13,13,0,57,620,10,10,13,10,2,3,4,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,미설치,적정설치
S010005524-2024,서울특별시 송파구,S010005524,문현고등학교,1,1,0,1,13,13,0,57,630,10,10,10,10,2,3,4,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,미설치,적정설치
S010005525-2021,서울특별시 은평구,S010005525,진관고등학교,0,1,0,0,0,16,0,0,803,8.3,10,10.3,4,5,2.7,2.7,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치
S010005525-2022,서울특별시 은평구,S010005525,진관고등학교,0,1,0,0,0,19,0,0,811,15,6,10,2,2,2,2,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치
S010005525-2023,서울특별시 은평구,S010005525,진관고등학교,5,2,11,0,15,22,800,0,805,8,8,11,3,2,1,1,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치
S010005525-2024,서울특별시 은평구,S010005525,진관고등학교,5,2,11,0,17,21,800,0,819,10,10,13,6,4,3,2,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치
S010005526-2021,서울특별시 강동구,S010005526,강명중학교,0,1,0,0,0,18,0,0,506,10,8,11,4,6,3,2,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,미설치,적정설치
S010005526-2022,서울특별시 강동구,S010005526,강명중학교,0,1,0,0,0,9,0,0,635,10,8,11,5,5,3,2,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,미설치,적정설치
S010005526-2023,서울특별시 강동구,S010005526,강명중학교,0,1,0,0,0,9,0,0,671,10,8,11,4,5,3,2,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,미설치,적정설치
S010005526-2024,서울특별시 강동구,S010005526,강명중학교,1,1,0,1,17,9,0,60,0,0,0,0,0,0,0,0,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,미설치,적정설치
S010005527-2021,서울특별시 강동구,S010005527,서울강명초등학교,0,0,0,0,0,0,0,0,1173,12,11,8,5,5,2,2,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,단순설치,적정설치
S010005527-2022,서울특별시 강동구,S010005527,서울강명초등학교,0,0,0,0,0,0,0,0,957,10,9,3,2,3,0,1,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,단순설치,적정설치
S010005527-2023,서울특별시 강동구,S010005527,서울강명초등학교,0,0,0,0,0,0,0,0,771,10,9,3,1,4,0,1,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,단순설치,적정설치
S010005527-2024,서울특별시 강동구,S010005527,서울강명초등학교,0,0,0,0,0,0,0,0,652,14,12,10,2,4,1,3,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,단순설치,적정설치
S010005528-2021,서울특별시 관악구,S010005528,구암고등학교,0,2,1,3,0,22,30,14,611,10,10,10,5,5,3,2,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,미설치,적정설치
S010005528-2022,서울특별시 관악구,S010005528,구암고등학교,0,2,2,3,0,22,30,14,600,12,12,10,5,5,3,2,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,미설치,적정설치
S010005528-2023,서울특별시 관악구,S010005528,구암고등학교,1,2,2,3,24,22,30,14,580,12,12,11,5,4,3,3,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,미설치,적정설치
S010005528-2024,서울특별시 관악구,S010005528,구암고등학교,2,1,2,3,25,15,26,17,591,10,10,10,5,5,3,2,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,미설치,적정설치
S010005530-2021,서울특별시 은평구,S010005530,신도고등학교,0,1,0,0,0,10,0,0,580,8,6,5,2,3,2,2,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,단순설치,적정설치,적정설치
S010005530-2022,서울특별시 은평구,S010005530,신도고등학교,0,1,0,0,0,14,0,0,569,10,6,6,6,5,2,2,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,단순설치,적정설치,적정설치
S010005530-2023,서울특별시 은평구,S010005530,신도고등학교,1,1,1,1,10,200,587,587,599,8,8,5,3,2,1,1,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,단순설치,적정설치,적정설치
S010005530-2024,서울특별시 은평구,S010005530,신도고등학교,0,0,0,0,0,0,0,0,610,10,10,12,5,5,3,2,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,단순설치,적정설치,적정설치
S010005536-2021,서울특별시 동대문구,S010005536,해성여자고등학교,0,0,0,1,0,0,0,20,647,8,8,8,4,4,4,2,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치
S010005536-2022,서울특별시 동대문구,S010005536,해성여자고등학교,2,0,0,0,40,0,0,0,616,8,8,5,3,2,1,1,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치
S010005536-2023,서울특별시 동대문구,S010005536,해성여자고등학교,1,0,0,0,9,0,0,0,605,8,8,7,4,3,1,1,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치
S010005536-2024,서울특별시 동대문구,S010005536,해성여자고등학교,1,0,0,0,10,0,0,0,623,15,14,19,9,6,7,4,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치
S010005540-2021,서울특별시 강동구,S010005540,강동중학교,0,2,0,0,0,29,0,0,747,16,6,19,9,7,4,5,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치
S010005540-2022,서울특별시 강동구,S010005540,강동중학교,0,2,7,0,0,35,54,0,800,15,11,15,5,5,4,5,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치
S010005540-2023,서울특별시 강동구,S010005540,강동중학교,0,2,7,0,0,35,54,0,707,15,11,19,5,5,3,6,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치
S010005540-2024,서울특별시 강동구,S010005540,강동중학교,0,1,2,0,0,25,20,0,0,0,0,0,0,0,0,0,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치
S010005541-2021,서울특별시 강북구,S010005541,솔샘고등학교,0,1,0,0,0,10,0,0,550,18,13,12,5,5,5,4,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,단순설치,단순설치,적정설치,미설치,미설치
S010005541-2022,서울특별시 강북구,S010005541,솔샘고등학교,1,0,0,0,11,0,0,0,522,18,13,11,7,7,5,4,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,단순설치,단순설치,적정설치,미설치,미설치
S010005541-2023,서울특별시 강북구,S010005541,솔샘고등학교,1,0,1,0,15,0,1,0,513,18,13,12,5,5,5,4,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,단순설치,단순설치,적정설치,미설치,미설치
S010005541-2024,서울특별시 강북구,S010005541,솔샘고등학교,1,0,50,0,16,0,535,0,547,20,12,14,4,2,9,5,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,단순설치,단순설치,적정설치,미설치,미설치
S010005546-2021,서울특별시 강서구,S010005546,서울등마초등학교,0,0,0,0,0,0,0,0,823,12,11,8,6,2,2,2,적정설치,적정설치,적정설치,단순설치,적정설치,적정설치,단순설치,적정설치,적정설치,적정설치,단순설치
S010005546-2022,서울특별시 강서구,S010005546,서울등마초등학교,0,0,0,0,0,0,0,0,808,10,9,3,2,3,0,1,적정설치,적정설치,적정설치,단순설치,적정설치,적정설치,단순설치,적정설치,적정설치,적정설치,단순설치
S010005546-2023,서울특별시 강서구,S010005546,서울등마초등학교,0,0,0,0,0,0,0,0,792,10,10,5,3,3,1,1,적정설치,적정설치,적정설치,단순설치,적정설치,적정설치,단순설치,적정설치,적정설치,적정설치,단순설치
S010005546-2024,서울특별시 강서구,S010005546,서울등마초등학교,0,0,36,0,0,0,740,0,725,10,11,8,10,4,2,2,적정설치,적정설치,적정설치,단순설치,적정설치,적정설치,단순설치,적정설치,적정설치,적정설치,단순설치
S010005548-2021,서울특별시 양천구,S010005548,서울신은초등학교,0,0,0,0,0,0,0,0,992,22,18,16,12,2,2,4,적정설치,적정설치,적정설치,적정설치,미설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치
S010005548-2022,서울특별시 양천구,S010005548,서울신은초등학교,0,0,0,0,0,0,0,0,830,18,18,18,18,18,9,9,적정설치,적정설치,적정설치,적정설치,미설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치
S010005548-2023,서울특별시 양천구,S010005548,서울신은초등학교,0,0,0,0,0,0,0,0,714,9,7,5,7,7,1,2,적정설치,적정설치,적정설치,적정설치,미설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치
S010005548-2024,서울특별시 양천구,S010005548,서울신은초등학교,0,0,0,2,0,0,0,124,557,12,11,8,7,3,2,2,적정설치,적정설치,적정설치,적정설치,적정설치,단순설치,적정설치,적정설치,단순설치,적정설치,단순설치
S010005549-2021,서울특별시 서초구,S010005549,서울우면초등학교,0,0,0,0,0,0,0,0,1306,12,10,9,9,1,2.3,4,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치
S010005549-2022,서울특별시 서초구,S010005549,서울우면초등학교,65,65,65,65,1194,1194,1194,1194,1179,12,11,8,5,5,2,2,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치
S010005549-2023,서울특별시 서초구,S010005549,서울우면초등학교,60,60,60,60,1010,1010,1010,1010,1007,12,11,8,5,5,2,2,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치
S010005549-2024,서울특별시 서초구,S010005549,서울우면초등학교,39,0,39,0,1010,0,800,0,866,12,11,8,5,5,2,2,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치
S010005551-2021,서울특별시 성동구,S010005551,서울동호초등학교,0,0,0,0,0,0,0,0,471,12,11,8,10,2,2,2,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치
S010005551-2022,서울특별시 성동구,S010005551,서울동호초등학교,15,0,24,0,60,0,450,0,439,10,9,3,3,2,0,1,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치
S010005551-2023,서울특별시 성동구,S010005551,서울동호초등학교,15,0,24,0,60,0,420,0,448,10,9,3,5,2,0,1,적정설치,미설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치
S010005551-2024,서울특별시 성동구,S010005551,서울동호초등학교,14,0,22,0,60,0,396,0,429,12,11,8,5,5,2,2,적정설치,미설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치
S010005553-2021,서울특별시 구로구,S010005553,서울천왕초등학교,0,1,0,31,0,7,0,679,1151,12,11,8,4,4,2,2,적정설치,단순설치,적정설치,적정설치,적정설치,적정설치,적정설치,단순설치,단순설치,단순설치,단순설치
S010005553-2022,서울특별시 구로구,S010005553,서울천왕초등학교,1,1,48,0,20,7,1049,0,1038,10,10,5,6,2,1,2,적정설치,단순설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,단순설치,적정설치
S010005553-2023,서울특별시 구로구,S010005553,서울천왕초등학교,2,1,69,0,30,7,928,0,917,11,10,6,5,4,1,2,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치
S010005553-2024,서울특별시 구로구,S010005553,서울천왕초등학교,1,25,49,8,7,558,729,188,721,12,11,8,6,4,2,2,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치
S010005555-2021,서울특별시 마포구,S010005555,서울하늘초등학교,0,4,0,0,0,134,0,0,915,12,11,8,5,5,2,2,적정설치,적정설치,적정설치,적정설치,미설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치
S010005555-2022,서울특별시 마포구,S010005555,서울하늘초등학교,0,0,35,0,0,0,700,0,732,11,10.6,7.3,4.2,4,2.3,2.8,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치
S010005555-2023,서울특별시 마포구,S010005555,서울하늘초등학교,0,0,31,0,0,0,600,0,602,12,11,18,5,5,2,2,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치
S010005555-2024,서울특별시 마포구,S010005555,서울하늘초등학교,0,0,28,2,0,0,495,122,486,10.8,10,20.5,5,7,2,2,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치
S010005557-2021,서울특별시 은평구,S010005557,서울은빛초등학교,0,0,0,0,0,0,0,0,1024,12,11,8,5,5,2,2,적정설치,적정설치,적정설치,적정설치,미설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치
S010005557-2022,서울특별시 은평구,S010005557,서울은빛초등학교,0,1,0,0,0,8,0,0,865,12,11,8,5,5,2,2,적정설치,적정설치,적정설치,적정설치,미설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치
